iter	Passed	Remaining
365	8553	61556
366	8592	61647
367	8612	61596
368	8633	61555
369	8652	61501
370	8671	61446
371	8694	61419
372	8710	61349
373	8730	61298
374	8749	61247
375	8768	61194
376	8789	61151
377	8809	61104
378	8828	61056
379	8848	61008
380	8870	60972
381	8887	60910
382	8905	60849
383	8925	60802
384	8945	60758
385	8965	60717
386	8985	60668
387	9005	60626
388	9022	60562
389	9042	60516
390	9072	60534
391	9105	60580
392	9148	60690
393	9180	60724
394	9197	60659
395	9218	60617
396	9235	60553
397	9255	60507
398	9274	60460
399	9294	60414
400	9311	60352
401	9331	60306
402	9351	60263
403	9370	60212
404	9389	60164
405	9409	60116
406	9428	60067
407	9450	60039
408	9467	59978
409	9487	59932
410	9508	59896
411	9527	59849
412	9547	59806
413	9566	59755
414	9596	59775
415	9615	59727
416	9643	59734
417	9664	59696
418	9685	59662
419	9705	59617
420	9725	59575
421	9746	59542
422	9783	59604
423	9823	59683
424	9843	59637
425	9864	59603
426	9881	59543
427	9900	59496
428	9921	59457
429	9941	59418
430	9960	59371
431	9980	59326
432	10001	59291
433	10019	59239
434	10040	59201
435	10060	59164
436	10082	59134
437	10112	59152
438	10135	59130
439	10158	59101
440	10187	59115
441	10207	59074
442	10225	59020
443	10245	58979
444	10264	58935
445	10284	58896
446	10305	58857
447	10325	58817
448	10346	58781
449	10364	58730
450	10384	58690
451	10405	58655
452	10428	58636
453	10449	58597
454	10481	58625
455	10511	58645
456	10538	58641
457	10564	58635
458	10583	58591
459	10605	58562
460	10623	58510
461	10641	58458
462	10661	58417
463	10690	58430
464	10711	58394
465	10731	58354
466	10751	58315
467	10771	58274
468	10792	58240
469	10809	58189
470	10830	58153
471	10851	58119
472	10871	58083
473	10890	58036
474	10911	58003
475	10932	57971
476	10949	57914
477	10965	57853
478	10980	57790
479	11001	57757
480	11022	57723
481	11042	57688
482	11084	57764
483	11135	57888
484	11188	58019
485	11236	58125
486	11283	58223
487	11331	58327
488	11375	58414
489	11415	58475
490	11463	58578
491	11513	58690
492	11563	58802
493	11613	58916
494	11663	59022
495	11700	59070
496	11752	59185
497	11801	59291
498	11851	59401
499	11889	59446
500	11909	59406
501	11930	59365
502	11950	59322
503	11970	59281
504	11990	59239
505	12009	59194
506	12028	59147
507	12058	59151
508	12076	59099
509	12096	59058
510	12112	58998
511	12133	58963
512	12166	58982
513	12208	59049
514	12230	59012
515	12248	58962
516	12278	58970
517	12299	58931
518	12319	58889
519	12335	58832
520	12355	58787
521	12375	58748
522	12395	58706
523	12415	58663
524	12434	58621
525	12453	58572
526	12472	58528
527	12492	58487
528	12509	58432
529	12529	58392
530	12553	58368
531	12578	58355
532	12598	58310
533	12618	58272
534	12638	58232
535	12658	58191
536	12675	58136
537	12696	58100
538	12717	58064
539	12734	58014
540	12754	57971
541	12776	57942
542	12809	57962
543	12855	58038
544	12876	58001
545	12899	57975
546	12918	57932
547	12941	57905
548	12959	57858
549	12981	57825
550	13001	57786
551	13022	57751
552	13066	57817
553	13140	58017
554	13179	58062
555	13202	58033
556	13224	58002
557	13245	57966
558	13264	57920
559	13283	57878
560	13303	57836
561	13322	57795
562	13352	57796
563	13374	57764
564	13394	57727
565	13414	57688
566	13436	57655
567	13456	57615
568	13476	57575
569	13493	57525
570	13511	57476
571	13533	57447
572	13556	57420
