iter	MAE	RMSE
228	563520.1888	738622.5884
229	558962.9993	732328.3331
230	554901.4572	726969.3896
231	549899.3036	719152.7984
232	547368.7963	716315.5424
233	541771.6111	706315.4425
234	536210.7937	698822.0756
235	531537.6357	692572.7834
236	526800.2817	688880.2829
237	524154.5266	684820.2896
238	520717.0493	679495.0896
239	516310.3799	672740.8179
240	510535.0291	663172.42
241	507864.9947	658999.453
242	501766.0278	649116.2988
243	498386.5529	644487.0956
244	493482.3003	638435.1191
245	488649.3544	632541.2923
246	485422.7123	628009.4979
247	483242.0171	624991.798
248	479359.7016	620741.493
249	474487.7686	615498.9962
250	472159.2312	612054.6682
251	467593.8067	604547.6858
252	463082.0421	598945.0316
253	457629.1623	590816.225
254	453766.8285	586765.3871
255	452391.0333	584811.8123
256	447556.067	579465.5936
257	443232.3244	574243.9723
258	438362.9826	566872.2832
259	432130.0658	558249.8694
260	428376.7085	552352.1807
261	423941.5044	547028.1225
262	420603.2592	542285.2609
263	416871.9468	536655.9317
264	410947.9375	528396.5149
265	408760.4106	526315.6401
266	404619.7671	520229.8572
267	400933.09	515907.0028
268	396489.7927	510714.461
269	392242.604	505002.8101
270	387872.1625	499436.1823
271	385635.4327	496318.4118
272	381803.2763	491609.0855
273	378903.8081	487328.5531
274	375442.2627	482299.3317
275	369216.3323	473789.1192
276	365429.3227	468716.3528
277	361163.8415	463951.536
278	358795.5906	460766.0843
279	355754.0919	456243.8684
280	352911.0954	453032.2083
281	349400.493	449329.2092
282	345333.3699	443860.1412
283	341243.2044	437788.4527
284	337509.0904	432509.4635
285	333541.5115	427660.6175
286	331171.7153	424702.5958
287	327525.3645	419283.0835
288	326603.2561	417971.2378
289	323473.0561	413540.4732
290	322561.2948	412096.0764
291	318763.5872	406897.8639
292	316545.0259	404015.8969
293	314047.4026	401364.4833
294	310868.5673	397313.0366
295	307484.8916	392324.5393
296	305166.0979	389350.6048
297	303543.992	387281.4171
298	301915.0229	385350.3152
299	298346.7601	381004.4246
300	297071.2656	379656.5216
301	294633.1535	376804.3401
302	292952.0587	374480.6976
303	290439.4988	370945.7024
304	287915.0714	367521.8146
305	285810.4646	365323.9583
306	283653.1634	361959.7485
307	281475.9651	358769.7788
308	279453.5089	356607.5069
309	277059.4148	354118.5225
310	275686.7117	352849.9259
311	273892.1579	350438.3644
312	270700.1187	346524.0832
313	270119.4968	345430.5497
314	267328.7512	342198.9914
315	265503.2941	339887.3243
316	262328.681	335299.8573
317	259834.7833	331859.6052
318	256867.1845	327666.374
319	255450.8077	326140.1878
320	253002.277	323289.7365
321	250159.3376	318926.8421
322	248690.6813	317064.3874
323	247231.2111	315269.6333
324	244766.3388	311828.006
325	242724.3684	309046.875
326	240543.8948	306254.8227
327	238612.0368	303801.2118
328	236395.0225	301003.1521
329	233957.8918	298618.9339
330	232305.0539	296502.9704
331	231178.9035	295079.263
332	230138.389	293603.5192
333	229485.1019	292762.5878
334	227181.0682	289851.2793
335	226152.1994	288952.8612
336	224956.3735	287762.7719
337	223865.2704	286451.772
338	221139.1323	282371.858
339	220295.4688	281330.8583
340	218984.7104	279667.6609
341	217195.5146	277194.7811
342	215809.6322	275827.2237
343	213483.777	272155.9237
344	211922.6048	270431.7442
345	210920.9355	269237.6933
346	209182.2003	267071.2909
347	207379.9464	264748.8652
348	205045.058	262103.6621
349	203431.6757	260120.839
350	201928.0482	258260.0577
351	200510.4394	256625.948
352	198494.9476	253359.3925
353	196985.733	251809.791
354	195688.9569	249482.4355
355	194113.942	247152.3464
356	192481.7056	245346.4026
357	190487.9256	243196.8817
358	188867.5634	241529.5623
359	186605.662	238466.3091
360	185658.8257	237539.72
361	184661.252	236473.7109
362	183322.441	234735.236
363	181862.7564	232673.4134
364	181306.833	232000.0734
365	179740.4959	230043.3766
366	177778.8821	227707.4603
367	175967.5325	225501.5953
368	174552.5251	223771.7265
369	174122.6957	223134.1653
370	173724.3581	222596.7581
371	172443.8814	221163.0326
372	170569.632	219171.2214
373	169187.7205	217573.4993
374	168290.5822	216506.6432
375	167894.812	216120.7071
376	166628.5259	213938.3701
377	165648.4476	212551.3285
378	164515.6098	211128.7344
379	163607.483	210093.43
380	162848.6405	209152.8606
381	162010.1592	207815.4828
382	160815.2509	206492.9684
383	159708.0253	205176.6348
384	158405.7263	203432.7697
385	157469.5238	202265.3178
386	157106.9985	201948.6225
387	156298.0267	200954.7799
388	155300.8168	199715.7537
389	154854.8354	199136.1102
390	154020.8662	198257.2798
391	153056.6915	197080.0886
392	152370.1436	196295.0389
393	151037.3939	194202.2326
394	150627.815	193847.7651
395	149427.6012	192425.8329
396	148735.7616	191490.0915
397	148295.4817	191059.6753
398	147083.9152	189398.9539
399	145860.8467	188041.2532
400	145013.1667	187305.7201
401	144297.8545	186667.0689
402	143322.7765	185338.8449
403	142770.3804	184908.5974
404	141647.0514	183540.8683
405	141198.6774	183091.5291
406	140488.0111	181986.0909
407	139846.6065	181228.2759
408	138828.9058	180152.0352
409	138037.0602	179091.0897
410	137324.7453	178388.078
411	136901.1508	177671.7527
412	136592.5922	177347.4726
413	135210.653	175703.1234
414	134306.1516	174646.0399
415	133322.2159	173474.5622
416	132875.3349	173016.7281
417	132524.7521	172682.3935
418	131576.9615	170910.4321
419	131064.4745	170367.3224
420	129480.3434	168537.426
421	128731.8793	167847.3106
422	128119.0457	167234.4199
423	126651.8906	165489.918
424	125871.7629	164851.0157
425	125254.9428	164209.7854
426	124574.9962	163482.1522
427	124366.2742	163316.1425
428	123518.6883	162289.5135
429	122616.8637	160801.1821
430	121973.3912	160033.9757
431	121575.4106	159544.5727
432	120746.1901	158422.8804
433	119782.0764	157415.7859
434	118916.7017	156238.1165
435	118196.0498	155493.6326
436	117542.5126	154514.1495
437	116556.2369	153155.4531
438	116110.2601	152526.9179
439	115073.3706	151241.6256
440	114486.2777	150442.5617
441	114140.591	149990.7985
442	113546.1906	149459.3131
443	112419.1123	148044.7066
444	111973.9444	147546.4734
445	111573.4533	147035.7625
446	110381.1905	145537.0899
447	109996.7317	145090.5822
448	109200.7531	144086.9583
449	108260.8328	142719.4217
450	107697.6166	141960.7129
451	106839.9144	140392.3655
452	106284.0231	139808.6492
453	106140.2858	139624.7585
454	105426.1596	138878.028
455	105046.803	138351.3579
456	104542.3104	137686.5491
457	103868.9652	136776.9878
458	102913.4952	135707.0224
459	102650.2387	135345.7484
460	102247.2709	134963.3591
461	101668.8388	134174.8861
462	101120.9574	133646.8455
463	100480.506	132957.0436
464	100239.4962	132786.4709
465	99512.25778	131893.184
466	98188.16763	130424.673
467	97466.85199	129677.0186
468	96866.37102	129087.0585
469	95600.62857	127627.5414
470	94955.71473	126572.6411
471	94029.49726	125015.8772
472	93328.77111	124031.7947
473	92521.6469	123113.8911
474	92052.66479	122597.774
475	90549.2138	120771.1333
476	89347.43507	119415.4868
477	88997.57432	119055.4149
478	88797.32802	118830.3744
479	88236.67614	118126.1682
480	87621.04956	117493.5476
481	87430.70214	117298.7778
482	86891.5626	116588.24
483	86510.49318	116232.9202
484	85994.82236	115550.093
485	85471.47497	114733.8446
486	84868.4049	114081.4726
487	84636.6419	113844.3964
488	83730.80476	112820.8862
489	83434.40656	112616.4055
490	82598.31246	111421.6696
491	81990.95235	110599.14
492	81402.89786	110012.349
493	80989.82181	109462.5449
494	80000.60246	108022.0218
495	79525.19642	107508.0624
496	79130.21593	107094.5475
497	78150.4317	105573.2375
498	77579.4415	104780.781
499	77303.09668	104445.623
500	76523.7595	103446.1632
501	76211.47947	103118.8944
502	75749.23502	102459.6959
503	75101.6849	101733.1492
504	74564.36365	100953.2997
505	74411.33395	100753.8192
506	73968.57209	100356.3919
507	73143.31069	99313.04655
508	72584.51195	98642.3985
509	72246.03284	98181.44835
510	71690.63639	97461.89448
511	71101.13124	96647.42765
512	70883.04473	96394.30727
513	70588.90086	96206.48904
514	69903.22396	95382.62399
515	69801.87129	95295.93951
516	68908.9193	94139.8923
517	68292.28556	93326.93336
518	68116.90935	93074.34881
519	67864.6377	92804.91978
520	67716.38285	92709.64227
521	67197.88489	92042.29646
522	66992.11633	91800.19921
523	66895.53294	91666.27712
524	66469.11244	91078.75156
525	66315.46956	90951.91894
526	65354.12357	89694.01131
527	64914.01639	88940.51308
528	64694.5034	88670.47082
529	64164.66452	87898.08903
530	63689.56133	87189.59485
531	63381.70411	86859.86566
532	63227.20942	86653.7167
533	62861.73029	86156.87
534	62169.03248	85156.82029
535	61785.93586	84768.31797
536	61655.05008	84653.18353
537	61108.02235	83753.67658
538	60771.35791	83286.12834
539	60244.54047	82566.83003
540	60017.64406	82261.2682
541	59564.3388	81588.13635
542	58647.95395	80359.65204
543	58211.6004	79864.69732
544	57646.85259	79229.54845
545	56914.88122	78275.20315
546	56298.30993	77368.1884
547	55738.00614	76468.64159
548	55367.48737	76020.72344
549	54901.56541	75193.89663
550	54458.28813	74619.76782
551	54036.13652	74008.6776
552	53840.14059	73756.61773
553	53590.58649	73562.23203
554	53186.00919	73123.67334
555	52965.6251	72797.22877
556	52411.85855	71924.74479
557	52245.84566	71742.5697
558	52072.72251	71585.61171
559	51841.23772	71074.61958
560	51671.80416	70878.26728
561	51483.47553	70720.25512
562	50910.17251	69976.23254
563	50392.08689	69184.28712
564	49962.1563	68671.73512
565	49409.57711	67785.10864
566	48821.45599	67055.64759
567	48358.71963	66453.88726
568	47941.41709	65956.40218
569	47679.15769	65657.27744
570	47078.45944	64879.92479
571	46541.91619	64248.20416
572	46135.38588	63627.85942
